path,relative_path,file_name,file_size_bytes,width,height,mode,corrupted,error,category,split,defect_type,sample_id,is_mask,kind,label,anomaly_group
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\000\000.png,breakfast_box/ground_truth/logical_anomalies/000/000.png,000.png,10657,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,000,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\001\000.png,breakfast_box/ground_truth/logical_anomalies/001/000.png,000.png,10241,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,001,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\002\000.png,breakfast_box/ground_truth/logical_anomalies/002/000.png,000.png,9981,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,002,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\003\000.png,breakfast_box/ground_truth/logical_anomalies/003/000.png,000.png,5618,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,003,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\004\000.png,breakfast_box/ground_truth/logical_anomalies/004/000.png,000.png,5829,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,004,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\005\000.png,breakfast_box/ground_truth/logical_anomalies/005/000.png,000.png,6217,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,005,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\006\000.png,breakfast_box/ground_truth/logical_anomalies/006/000.png,000.png,5788,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,006,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\007\000.png,breakfast_box/ground_truth/logical_anomalies/007/000.png,000.png,6594,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,007,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\008\000.png,breakfast_box/ground_truth/logical_anomalies/008/000.png,000.png,5925,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,008,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\009\000.png,breakfast_box/ground_truth/logical_anomalies/009/000.png,000.png,6068,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,009,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\010\000.png,breakfast_box/ground_truth/logical_anomalies/010/000.png,000.png,5752,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,010,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\011\000.png,breakfast_box/ground_truth/logical_anomalies/011/000.png,000.png,5640,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,011,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\012\000.png,breakfast_box/ground_truth/logical_anomalies/012/000.png,000.png,5698,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,012,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\013\000.png,breakfast_box/ground_truth/logical_anomalies/013/000.png,000.png,5559,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,013,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\014\000.png,breakfast_box/ground_truth/logical_anomalies/014/000.png,000.png,6061,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,014,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\015\000.png,breakfast_box/ground_truth/logical_anomalies/015/000.png,000.png,6315,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,015,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\016\000.png,breakfast_box/ground_truth/logical_anomalies/016/000.png,000.png,6173,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,016,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\017\000.png,breakfast_box/ground_truth/logical_anomalies/017/000.png,000.png,6253,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,017,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\018\000.png,breakfast_box/ground_truth/logical_anomalies/018/000.png,000.png,6040,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,018,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\019\000.png,breakfast_box/ground_truth/logical_anomalies/019/000.png,000.png,6132,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,019,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\020\000.png,breakfast_box/ground_truth/logical_anomalies/020/000.png,000.png,6084,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,020,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\021\000.png,breakfast_box/ground_truth/logical_anomalies/021/000.png,000.png,5942,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,021,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\022\000.png,breakfast_box/ground_truth/logical_anomalies/022/000.png,000.png,5981,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,022,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\023\000.png,breakfast_box/ground_truth/logical_anomalies/023/000.png,000.png,6249,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,023,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\024\000.png,breakfast_box/ground_truth/logical_anomalies/024/000.png,000.png,6285,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,024,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\025\000.png,breakfast_box/ground_truth/logical_anomalies/025/000.png,000.png,4689,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,025,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\026\000.png,breakfast_box/ground_truth/logical_anomalies/026/000.png,000.png,4602,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,026,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\027\000.png,breakfast_box/ground_truth/logical_anomalies/027/000.png,000.png,4305,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,027,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\028\000.png,breakfast_box/ground_truth/logical_anomalies/028/000.png,000.png,4584,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,028,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\029\000.png,breakfast_box/ground_truth/logical_anomalies/029/000.png,000.png,4487,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,029,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\030\000.png,breakfast_box/ground_truth/logical_anomalies/030/000.png,000.png,4555,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,030,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\031\000.png,breakfast_box/ground_truth/logical_anomalies/031/000.png,000.png,5012,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,031,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\032\000.png,breakfast_box/ground_truth/logical_anomalies/032/000.png,000.png,4781,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,032,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\033\000.png,breakfast_box/ground_truth/logical_anomalies/033/000.png,000.png,5968,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,033,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\034\000.png,breakfast_box/ground_truth/logical_anomalies/034/000.png,000.png,5965,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,034,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\035\000.png,breakfast_box/ground_truth/logical_anomalies/035/000.png,000.png,5950,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,035,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\036\000.png,breakfast_box/ground_truth/logical_anomalies/036/000.png,000.png,5933,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,036,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\037\000.png,breakfast_box/ground_truth/logical_anomalies/037/000.png,000.png,4009,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,037,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\038\000.png,breakfast_box/ground_truth/logical_anomalies/038/000.png,000.png,4173,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,038,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\039\000.png,breakfast_box/ground_truth/logical_anomalies/039/000.png,000.png,4075,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,039,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\040\000.png,breakfast_box/ground_truth/logical_anomalies/040/000.png,000.png,4411,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,040,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\041\000.png,breakfast_box/ground_truth/logical_anomalies/041/000.png,000.png,4316,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,041,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\042\000.png,breakfast_box/ground_truth/logical_anomalies/042/000.png,000.png,4523,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,042,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\043\000.png,breakfast_box/ground_truth/logical_anomalies/043/000.png,000.png,4166,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,043,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\044\000.png,breakfast_box/ground_truth/logical_anomalies/044/000.png,000.png,3653,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,044,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\045\000.png,breakfast_box/ground_truth/logical_anomalies/045/000.png,000.png,6478,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,045,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\046\000.png,breakfast_box/ground_truth/logical_anomalies/046/000.png,000.png,4518,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,046,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\047\000.png,breakfast_box/ground_truth/logical_anomalies/047/000.png,000.png,6093,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,047,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\048\000.png,breakfast_box/ground_truth/logical_anomalies/048/000.png,000.png,9834,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,048,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\049\000.png,breakfast_box/ground_truth/logical_anomalies/049/000.png,000.png,10113,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,049,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\050\000.png,breakfast_box/ground_truth/logical_anomalies/050/000.png,000.png,10379,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,050,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\051\000.png,breakfast_box/ground_truth/logical_anomalies/051/000.png,000.png,9921,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,051,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\052\000.png,breakfast_box/ground_truth/logical_anomalies/052/000.png,000.png,6559,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,052,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\053\000.png,breakfast_box/ground_truth/logical_anomalies/053/000.png,000.png,6411,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,053,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\054\000.png,breakfast_box/ground_truth/logical_anomalies/054/000.png,000.png,6489,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,054,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\055\000.png,breakfast_box/ground_truth/logical_anomalies/055/000.png,000.png,6532,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,055,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\056\000.png,breakfast_box/ground_truth/logical_anomalies/056/000.png,000.png,5542,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,056,True,mask,1,logical_anomalies
D:\Anal Project Codex\Phase 1\breakfast_box\ground_truth\logical_anomalies\057\000.png,breakfast_box/ground_truth/logical_anomalies/057/000.png,000.png,6067,1600,1280,L,False,,breakfast_box,ground_truth,logical_anomalies,057,True,mask,1,logical_anomalies
