method,category,anomaly_type,n_good,n_anomaly,auroc,f1_max,f1_threshold,precision_at_f1,recall_at_f1
PatchCore,breakfast_box,logical,102,83,0.6381998582565556,0.6212121212121212,0.0404130404084531,0.4530386740331492,0.9879518072289156
PatchCore,breakfast_box,structural,102,90,0.6428104575163398,0.6717557251908397,0.04179264350983291,0.5116279069767442,0.9777777777777777
PatchCore,breakfast_box,overall,102,173,0.6405984359061544,0.7747747747747747,0.0404130404084531,0.6346863468634686,0.9942196531791907
PatchCore,juice_bottle,logical,94,142,0.7497003296373987,0.7513227513227513,0.03326828330433257,0.6016949152542372,1.0
PatchCore,juice_bottle,structural,94,94,0.7275916704391127,0.714859437751004,0.04516410733603033,0.5741935483870968,0.9468085106382979
PatchCore,juice_bottle,overall,94,236,0.7408943382618104,0.833922261484099,0.03326828330433257,0.7151515151515152,1.0
PatchCore,pushpins,logical,138,91,0.46225513616817965,0.56875,0.015766278943139242,0.39737991266375544,1.0
PatchCore,pushpins,structural,138,81,0.9685990338164251,0.8953488372093024,0.03272006573444813,0.8461538461538461,0.9506172839506173
PatchCore,pushpins,overall,138,172,0.7007077856420627,0.7142857142857143,0.02438110495750833,0.5689655172413793,0.9593023255813954
PatchCore,screw_bag,logical,122,137,0.5938135694627258,0.6919191919191919,0.023417967919354438,0.528957528957529,1.0
PatchCore,screw_bag,structural,122,82,0.6897241103558577,0.6388888888888888,0.030005189437773534,0.5149253731343284,0.8414634146341463
PatchCore,screw_bag,overall,122,219,0.6297252788382364,0.7821428571428571,0.023417967919354438,0.6422287390029325,1.0
PatchCore,splicing_connectors,logical,119,108,0.453781512605042,0.6447761194029851,0.00540018181584158,0.47577092511013214,1.0
PatchCore,splicing_connectors,structural,119,85,0.6889767671774593,0.6129032258064516,0.03407361369789072,0.5643564356435643,0.6705882352941176
PatchCore,splicing_connectors,overall,119,193,0.5573649148778683,0.7643564356435644,0.00540018181584158,0.6185897435897436,1.0
