method,image_id,path,relative_path,category,split,defect_type,sample_id,label,score,aggregation,feature_backend,map_file,time_ms
PatchCore,breakfast_box/test/good/000,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\000.png,breakfast_box/test/good/000.png,breakfast_box,test,good,000,0,0.049433408891901794,top5,fallback_patch_stats,D:\Anal Project Codex\Project_A_LOCO_AD\05_baselines\PatchCore\patchcore_anomaly_maps\breakfast_box_test_good_000.png,362.95300000347197
PatchCore,breakfast_box/test/good/001,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\001.png,breakfast_box/test/good/001.png,breakfast_box,test,good,001,0,0.04450217632648906,top5,fallback_patch_stats,D:\Anal Project Codex\Project_A_LOCO_AD\05_baselines\PatchCore\patchcore_anomaly_maps\breakfast_box_test_good_001.png,262.35599999927217
PatchCore,breakfast_box/test/good/002,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\002.png,breakfast_box/test/good/002.png,breakfast_box,test,good,002,0,0.043612033394035535,top5,fallback_patch_stats,D:\Anal Project Codex\Project_A_LOCO_AD\05_baselines\PatchCore\patchcore_anomaly_maps\breakfast_box_test_good_002.png,188.38200000027427
PatchCore,breakfast_box/test/good/003,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\003.png,breakfast_box/test/good/003.png,breakfast_box,test,good,003,0,0.05279103932479156,top5,fallback_patch_stats,D:\Anal Project Codex\Project_A_LOCO_AD\05_baselines\PatchCore\patchcore_anomaly_maps\breakfast_box_test_good_003.png,278.01950000139186
PatchCore,breakfast_box/test/good/004,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\004.png,breakfast_box/test/good/004.png,breakfast_box,test,good,004,0,0.04865912408178346,top5,fallback_patch_stats,D:\Anal Project Codex\Project_A_LOCO_AD\05_baselines\PatchCore\patchcore_anomaly_maps\breakfast_box_test_good_004.png,284.8995000022114
PatchCore,breakfast_box/test/good/005,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\005.png,breakfast_box/test/good/005.png,breakfast_box,test,good,005,0,0.04778276166224791,top5,fallback_patch_stats,D:\Anal Project Codex\Project_A_LOCO_AD\05_baselines\PatchCore\patchcore_anomaly_maps\breakfast_box_test_good_005.png,329.5245000044815
PatchCore,breakfast_box/test/good/006,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\006.png,breakfast_box/test/good/006.png,breakfast_box,test,good,006,0,0.04328235139445186,top5,fallback_patch_stats,D:\Anal Project Codex\Project_A_LOCO_AD\05_baselines\PatchCore\patchcore_anomaly_maps\breakfast_box_test_good_006.png,303.9658999987296
PatchCore,breakfast_box/test/good/007,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\007.png,breakfast_box/test/good/007.png,breakfast_box,test,good,007,0,0.04789457794412386,top5,fallback_patch_stats,D:\Anal Project Codex\Project_A_LOCO_AD\05_baselines\PatchCore\patchcore_anomaly_maps\breakfast_box_test_good_007.png,305.95049999828916
PatchCore,breakfast_box/test/good/008,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\008.png,breakfast_box/test/good/008.png,breakfast_box,test,good,008,0,0.043347528423477666,top5,fallback_patch_stats,D:\Anal Project Codex\Project_A_LOCO_AD\05_baselines\PatchCore\patchcore_anomaly_maps\breakfast_box_test_good_008.png,222.05160000157775
PatchCore,breakfast_box/test/good/009,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\009.png,breakfast_box/test/good/009.png,breakfast_box,test,good,009,0,0.04898613320019443,top5,fallback_patch_stats,D:\Anal Project Codex\Project_A_LOCO_AD\05_baselines\PatchCore\patchcore_anomaly_maps\breakfast_box_test_good_009.png,284.41469999961555
