method,category,anomaly_type,n_good,n_anomaly,auroc,f1_max,f1_threshold,precision_at_f1,recall_at_f1
CompositionHistogram,breakfast_box,logical,102,83,0.8099456650129933,0.7943262411347518,6.807081114667842,0.9655172413793104,0.6746987951807228
CompositionHistogram,breakfast_box,structural,102,90,0.5238562091503268,0.6382978723404256,2.513721999296481,0.46875,1.0
CompositionHistogram,breakfast_box,overall,102,173,0.6611130001133401,0.7723214285714286,2.513721999296481,0.6290909090909091,1.0
CompositionHistogram,juice_bottle,logical,94,142,0.6083308360803118,0.7513227513227513,2.531680366737429,0.6016949152542372,1.0
CompositionHistogram,juice_bottle,structural,94,94,0.40040742417383435,0.6690391459074733,2.8257558132107734,0.5026737967914439,1.0
CompositionHistogram,juice_bottle,overall,94,236,0.5255138838802741,0.833922261484099,2.531680366737429,0.7151515151515152,1.0
CompositionHistogram,pushpins,logical,138,91,0.6464405160057334,0.5714285714285714,2.618782230282013,0.4017857142857143,0.989010989010989
CompositionHistogram,pushpins,structural,138,81,0.44712828770799784,0.5460750853242321,2.6837240032609397,0.37735849056603776,0.9876543209876543
CompositionHistogram,pushpins,overall,138,172,0.5525783619817998,0.7142857142857143,2.618782230282013,0.5592105263157895,0.9883720930232558
CompositionHistogram,screw_bag,logical,122,137,0.5797535000598302,0.7038123167155426,3.5996053397133174,0.5882352941176471,0.8759124087591241
CompositionHistogram,screw_bag,structural,122,82,0.5634246301479409,0.5932203389830508,3.6236151592485646,0.45454545454545453,0.8536585365853658
CompositionHistogram,screw_bag,overall,122,219,0.5736394939740999,0.7835420393559929,2.2093271579781795,0.6441176470588236,1.0
CompositionHistogram,splicing_connectors,logical,119,108,0.5733737939620291,0.6463414634146342,2.8669353610062904,0.4818181818181818,0.9814814814814815
CompositionHistogram,splicing_connectors,structural,119,85,0.5559070687098369,0.5949820788530465,2.988146980142602,0.42783505154639173,0.9764705882352941
CompositionHistogram,splicing_connectors,overall,119,193,0.5656811947576958,0.7645875251509054,2.8669353610062904,0.625,0.9844559585492227
