method,image_id,path,relative_path,category,split,defect_type,sample_id,label,score,score_mahalanobis,score_cosine,score_isolation_forest,k,feature_backend,time_ms
CompositionHistogram,breakfast_box/test/good/000,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/000.png,breakfast_box/test/good/000.png,breakfast_box,test,good,000,0,3.1142226806626763,3.1142226806626763,0.5737870931625366,0.46076385168953965,32,dinov2-small,37.12518400061526
CompositionHistogram,breakfast_box/test/good/001,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/001.png,breakfast_box/test/good/001.png,breakfast_box,test,good,001,0,4.195832082555707,4.195832082555707,0.5743169188499451,0.5077390222878592,32,dinov2-small,35.84968500035757
CompositionHistogram,breakfast_box/test/good/002,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/002.png,breakfast_box/test/good/002.png,breakfast_box,test,good,002,0,3.8355566258121354,3.8355566258121354,0.5742670297622681,0.4750696302928024,32,dinov2-small,39.04685899942706
CompositionHistogram,breakfast_box/test/good/003,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/003.png,breakfast_box/test/good/003.png,breakfast_box,test,good,003,0,5.084926439953723,5.084926439953723,0.5717717409133911,0.510110767279345,32,dinov2-small,35.563286999604315
CompositionHistogram,breakfast_box/test/good/004,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/004.png,breakfast_box/test/good/004.png,breakfast_box,test,good,004,0,4.876359258488233,4.876359258488233,0.5704963207244873,0.5188333277345482,32,dinov2-small,33.727849999195314
CompositionHistogram,breakfast_box/test/good/005,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/005.png,breakfast_box/test/good/005.png,breakfast_box,test,good,005,0,5.064043469811926,5.064043469811926,0.5719183683395386,0.5208106736335614,32,dinov2-small,33.68655899976147
CompositionHistogram,breakfast_box/test/good/006,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/006.png,breakfast_box/test/good/006.png,breakfast_box,test,good,006,0,5.549697610697646,5.549697610697646,0.5707119703292847,0.5301307965159405,32,dinov2-small,35.72780699960276
CompositionHistogram,breakfast_box/test/good/007,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/007.png,breakfast_box/test/good/007.png,breakfast_box,test,good,007,0,6.722682069930123,6.722682069930123,0.5762990713119507,0.5336713038914133,32,dinov2-small,34.44001300067612
CompositionHistogram,breakfast_box/test/good/008,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/008.png,breakfast_box/test/good/008.png,breakfast_box,test,good,008,0,4.263943327294417,4.263943327294417,0.5740096569061279,0.48858059175105545,32,dinov2-small,35.10694600026909
CompositionHistogram,breakfast_box/test/good/009,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/009.png,breakfast_box/test/good/009.png,breakfast_box,test,good,009,0,5.954182951474405,5.954182951474405,0.5714172720909119,0.5255396266356,32,dinov2-small,34.035036000204855
CompositionHistogram,breakfast_box/test/good/010,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/010.png,breakfast_box/test/good/010.png,breakfast_box,test,good,010,0,4.299503562392077,4.299503562392077,0.5747203826904297,0.492652248343652,32,dinov2-small,34.269275999577076
CompositionHistogram,breakfast_box/test/good/011,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/011.png,breakfast_box/test/good/011.png,breakfast_box,test,good,011,0,5.069963594656672,5.069963594656672,0.5713478326797485,0.5105296232808874,32,dinov2-small,34.66363299958175
CompositionHistogram,breakfast_box/test/good/012,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/012.png,breakfast_box/test/good/012.png,breakfast_box,test,good,012,0,6.109749425771764,6.109749425771764,0.5755394697189331,0.5280279937532248,32,dinov2-small,39.31677799937461
CompositionHistogram,breakfast_box/test/good/013,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/013.png,breakfast_box/test/good/013.png,breakfast_box,test,good,013,0,3.9893747976127623,3.9893747976127623,0.5752752423286438,0.47554130030378,32,dinov2-small,34.87311699973361
CompositionHistogram,breakfast_box/test/good/014,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/014.png,breakfast_box/test/good/014.png,breakfast_box,test,good,014,0,5.087155903791359,5.087155903791359,0.5706802606582642,0.5235181164050327,32,dinov2-small,34.31042299962428
CompositionHistogram,breakfast_box/test/good/015,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/015.png,breakfast_box/test/good/015.png,breakfast_box,test,good,015,0,5.906286446667839,5.906286446667839,0.5721997618675232,0.518483698936471,32,dinov2-small,34.96755099968141
CompositionHistogram,breakfast_box/test/good/016,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/016.png,breakfast_box/test/good/016.png,breakfast_box,test,good,016,0,5.084541282923889,5.084541282923889,0.5746892094612122,0.508597932112944,32,dinov2-small,33.93181000046752
CompositionHistogram,breakfast_box/test/good/017,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/017.png,breakfast_box/test/good/017.png,breakfast_box,test,good,017,0,6.264410650757645,6.264410650757645,0.5718787312507629,0.5339088250815324,32,dinov2-small,34.000458999798866
CompositionHistogram,breakfast_box/test/good/018,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/018.png,breakfast_box/test/good/018.png,breakfast_box,test,good,018,0,3.2233303346465463,3.2233303346465463,0.5749220252037048,0.44714516381123465,32,dinov2-small,34.96382699995593
CompositionHistogram,breakfast_box/test/good/019,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/019.png,breakfast_box/test/good/019.png,breakfast_box,test,good,019,0,3.0150277554718063,3.0150277554718063,0.5745742917060852,0.44167653000936946,32,dinov2-small,36.146106000160216
CompositionHistogram,breakfast_box/test/good/020,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/020.png,breakfast_box/test/good/020.png,breakfast_box,test,good,020,0,5.4924536180890655,5.4924536180890655,0.5748668909072876,0.5188767118096955,32,dinov2-small,41.167168999891146
CompositionHistogram,breakfast_box/test/good/021,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/021.png,breakfast_box/test/good/021.png,breakfast_box,test,good,021,0,6.056848832138089,6.056848832138089,0.5755383968353271,0.5419745643287237,32,dinov2-small,40.763714999229705
CompositionHistogram,breakfast_box/test/good/022,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/022.png,breakfast_box/test/good/022.png,breakfast_box,test,good,022,0,2.889783545419421,2.889783545419421,0.5738284587860107,0.458962461579012,32,dinov2-small,35.14082900073845
CompositionHistogram,breakfast_box/test/good/023,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/023.png,breakfast_box/test/good/023.png,breakfast_box,test,good,023,0,5.972403403615862,5.972403403615862,0.5712318420410156,0.5353753660678214,32,dinov2-small,33.597976000237395
CompositionHistogram,breakfast_box/test/good/024,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/024.png,breakfast_box/test/good/024.png,breakfast_box,test,good,024,0,4.70093922044916,4.70093922044916,0.5746895670890808,0.5221222933956199,32,dinov2-small,33.55951300000015
