method,category,anomaly_type,n_good,n_anomaly,auroc,f1_max,f1_threshold,precision_at_f1,recall_at_f1
DINOv2 PatchMemory,breakfast_box,logical,102,83,0.7911646586345381,0.7294117647058823,0.5532598888546885,0.7126436781609196,0.7469879518072289
DINOv2 PatchMemory,breakfast_box,structural,102,90,0.8089324618736382,0.7391304347826086,0.5515946647491425,0.723404255319149,0.7555555555555555
DINOv2 PatchMemory,breakfast_box,overall,102,173,0.8004080244814689,0.8022598870056498,0.5429119009929225,0.7845303867403315,0.8208092485549133
DINOv2 PatchMemory,juice_bottle,logical,94,142,0.8927180101887924,0.8389513108614233,0.37569950294623655,0.896,0.7887323943661971
DINOv2 PatchMemory,juice_bottle,structural,94,94,0.9256450882752376,0.851063829787234,0.3735033052973089,0.851063829787234,0.851063829787234
DINOv2 PatchMemory,juice_bottle,overall,94,236,0.9058330328164442,0.88,0.3615072421185243,0.8744769874476988,0.885593220338983
DINOv2 PatchMemory,pushpins,logical,138,91,0.4925147316451664,0.56875,0.3901120676444127,0.39737991266375544,1.0
DINOv2 PatchMemory,pushpins,structural,138,81,0.5799785292538916,0.5593869731800766,0.4234132560630263,0.40555555555555556,0.9012345679012346
DINOv2 PatchMemory,pushpins,overall,138,172,0.5337040781934614,0.7136929460580913,0.38695469269385707,0.5548387096774193,1.0
DINOv2 PatchMemory,screw_bag,logical,122,137,0.5246499940169917,0.6919191919191919,0.48428720235824585,0.528957528957529,1.0
DINOv2 PatchMemory,screw_bag,structural,122,82,0.7854858056777289,0.6820809248554913,0.5956424947267893,0.6483516483516484,0.7195121951219512
DINOv2 PatchMemory,screw_bag,overall,122,219,0.622314544501834,0.7821428571428571,0.48428720235824585,0.6422287390029325,1.0
DINOv2 PatchMemory,splicing_connectors,logical,119,108,0.7864145658263306,0.7027027027027027,0.47156233040116957,0.6842105263157895,0.7222222222222222
DINOv2 PatchMemory,splicing_connectors,structural,119,85,0.725852694018784,0.6303030303030303,0.47787593712344056,0.65,0.611764705882353
DINOv2 PatchMemory,splicing_connectors,overall,119,193,0.7597422388644578,0.7770700636942676,0.43796089585333386,0.658273381294964,0.9481865284974094
