method,image_id,path,relative_path,category,split,defect_type,sample_id,label,score,aggregation,feature_backend,map_file,time_ms
DINOv2 PatchMemory,breakfast_box/test/good/000,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/000.png,breakfast_box/test/good/000.png,breakfast_box,test,good,000,0,0.5293018474028661,top5,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/DINOv2_PatchMemory/dinov2_patchmemory_anomaly_maps/breakfast_box_test_good_000.png,2581.0395899998184
DINOv2 PatchMemory,breakfast_box/test/good/001,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/001.png,breakfast_box/test/good/001.png,breakfast_box,test,good,001,0,0.5359081304990329,top5,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/DINOv2_PatchMemory/dinov2_patchmemory_anomaly_maps/breakfast_box_test_good_001.png,349.3448769995666
DINOv2 PatchMemory,breakfast_box/test/good/002,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/002.png,breakfast_box/test/good/002.png,breakfast_box,test,good,002,0,0.5249409996546232,top5,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/DINOv2_PatchMemory/dinov2_patchmemory_anomaly_maps/breakfast_box_test_good_002.png,301.49110299953463
DINOv2 PatchMemory,breakfast_box/test/good/003,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/003.png,breakfast_box/test/good/003.png,breakfast_box,test,good,003,0,0.5378339565717257,top5,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/DINOv2_PatchMemory/dinov2_patchmemory_anomaly_maps/breakfast_box_test_good_003.png,324.4279939999615
DINOv2 PatchMemory,breakfast_box/test/good/004,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/004.png,breakfast_box/test/good/004.png,breakfast_box,test,good,004,0,0.5417335170965928,top5,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/DINOv2_PatchMemory/dinov2_patchmemory_anomaly_maps/breakfast_box_test_good_004.png,308.8653039994824
DINOv2 PatchMemory,breakfast_box/test/good/005,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/005.png,breakfast_box/test/good/005.png,breakfast_box,test,good,005,0,0.5240964522728553,top5,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/DINOv2_PatchMemory/dinov2_patchmemory_anomaly_maps/breakfast_box_test_good_005.png,308.7432860002082
DINOv2 PatchMemory,breakfast_box/test/good/006,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/006.png,breakfast_box/test/good/006.png,breakfast_box,test,good,006,0,0.4942980454518245,top5,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/DINOv2_PatchMemory/dinov2_patchmemory_anomaly_maps/breakfast_box_test_good_006.png,335.63248199970985
DINOv2 PatchMemory,breakfast_box/test/good/007,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/007.png,breakfast_box/test/good/007.png,breakfast_box,test,good,007,0,0.5921942270719088,top5,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/DINOv2_PatchMemory/dinov2_patchmemory_anomaly_maps/breakfast_box_test_good_007.png,314.2740100001902
DINOv2 PatchMemory,breakfast_box/test/good/008,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/008.png,breakfast_box/test/good/008.png,breakfast_box,test,good,008,0,0.5415312235171978,top5,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/DINOv2_PatchMemory/dinov2_patchmemory_anomaly_maps/breakfast_box_test_good_008.png,305.6696949997786
DINOv2 PatchMemory,breakfast_box/test/good/009,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/009.png,breakfast_box/test/good/009.png,breakfast_box,test,good,009,0,0.5285188303543971,top5,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/DINOv2_PatchMemory/dinov2_patchmemory_anomaly_maps/breakfast_box_test_good_009.png,334.1341209998063
