method,anomaly_type,mean_auroc,std_auroc,n_seeds,seeds
Best Fusion,logical,0.7609860459400736,0.0012169303032147345,3,"[42, 7, 2026]"
Best Fusion,overall,0.8103495067209172,0.0012249813983423261,3,"[42, 7, 2026]"
Best Fusion,structural,0.8788885632925392,0.0011032552551180437,3,"[42, 7, 2026]"
CompositionHistogram,logical,0.7675088430676098,0.007994379132037472,3,"[42, 7, 2026]"
CompositionHistogram,overall,0.7047869963350316,0.00828517505225524,3,"[42, 7, 2026]"
CompositionHistogram,structural,0.6356065374618076,0.008631223411849456,3,"[42, 7, 2026]"
DINOv2 PatchMemory,logical,0.7154982547363892,0.0012163029888142116,3,"[42, 7, 2026]"
DINOv2 PatchMemory,overall,0.7561387884273235,0.0007558074647631925,3,"[42, 7, 2026]"
DINOv2 PatchMemory,structural,0.8163715275447839,0.00019965520868010008,3,"[42, 7, 2026]"
EfficientAD,logical,0.634128086371259,0.0,3,"[42, 7, 2026]"
EfficientAD,overall,0.6548401779647763,0.0,3,"[42, 7, 2026]"
EfficientAD,structural,0.6832483225954814,0.0,3,"[42, 7, 2026]"
Fusion Max,logical,0.767662500744969,0.0038931770689370144,3,"[42, 7, 2026]"
Fusion Max,overall,0.8243380089135449,0.003448109042619728,3,"[42, 7, 2026]"
Fusion Max,structural,0.899088533175946,0.003680199349773503,3,"[42, 7, 2026]"
Fusion RankAvg,logical,0.7498342675916531,0.0031540798109754567,3,"[42, 7, 2026]"
Fusion RankAvg,overall,0.7822275850145958,0.002496301235517343,3,"[42, 7, 2026]"
Fusion RankAvg,structural,0.8315705898101852,0.0017389576955865384,3,"[42, 7, 2026]"
GridAware DINOv2,logical,0.7167890216640073,0.0007431987078194844,3,"[42, 7, 2026]"
GridAware DINOv2,overall,0.7536334415526368,0.0004280194000001992,3,"[42, 7, 2026]"
GridAware DINOv2,structural,0.8091294470380831,0.0006305496399726044,3,"[42, 7, 2026]"
PatchCore,logical,0.7138976842416591,0.0033363210247007724,3,"[42, 7, 2026]"
PatchCore,overall,0.7669922937035403,0.0010864067268483298,3,"[42, 7, 2026]"
PatchCore,structural,0.8421643118791106,0.00162327970161164,3,"[42, 7, 2026]"
