method,category,anomaly_type,n_good,n_anomaly,auroc,f1_max,f1_threshold,precision_at_f1,recall_at_f1
EfficientAD,breakfast_box,logical,102,83,0.8668792818332153,0.7738095238095238,1.2787647738528611,0.7647058823529411,0.7831325301204819
EfficientAD,breakfast_box,structural,102,90,0.6159041394335513,0.6412213740458015,0.7656003853783535,0.4883720930232558,0.9333333333333333
EfficientAD,breakfast_box,overall,102,173,0.736314178850731,0.7740492170022372,0.5742093270747506,0.6313868613138686,1.0
EfficientAD,juice_bottle,logical,94,142,0.7146388972130656,0.7553191489361702,0.73453453857096,0.6068376068376068,1.0
EfficientAD,juice_bottle,structural,94,94,0.5659800814848347,0.6691449814126395,0.8035633243508076,0.5142857142857142,0.9574468085106383
EfficientAD,juice_bottle,overall,94,236,0.6554273350162279,0.8348134991119005,0.7300770351635152,0.7186544342507645,0.9957627118644068
EfficientAD,pushpins,logical,138,91,0.5607580824972129,0.6254295532646048,1.1208202042172304,0.455,1.0
EfficientAD,pushpins,structural,138,81,0.9893540883879047,0.54,0.7024978399276733,0.3698630136986301,1.0
EfficientAD,pushpins,overall,138,172,0.7625968992248062,0.7136929460580913,0.7024978399276733,0.5548387096774193,1.0
EfficientAD,screw_bag,logical,122,137,0.6723106377886802,0.7069486404833837,0.8377531467370651,0.6030927835051546,0.8540145985401459
EfficientAD,screw_bag,structural,122,82,0.731607357057177,0.6559139784946236,0.9814791152225666,0.5865384615384616,0.7439024390243902
EfficientAD,screw_bag,overall,122,219,0.6945130623549667,0.7893738140417458,0.719638099322966,0.6753246753246753,0.9497716894977168
EfficientAD,splicing_connectors,logical,119,108,0.35605353252412075,0.6447761194029851,0.5343901515007019,0.47577092511013214,1.0
EfficientAD,splicing_connectors,structural,119,85,0.5133959466139397,0.5882352941176471,0.5197203755378723,0.4166666666666667,1.0
EfficientAD,splicing_connectors,overall,119,193,0.4253494143771498,0.7643564356435644,0.5197203755378723,0.6185897435897436,1.0
PatchCore,breakfast_box,logical,102,83,0.7911646586345381,0.7294117647058823,0.5532598888546885,0.7126436781609196,0.7469879518072289
PatchCore,breakfast_box,structural,102,90,0.8089324618736382,0.7391304347826086,0.5515946647491425,0.723404255319149,0.7555555555555555
PatchCore,breakfast_box,overall,102,173,0.8004080244814689,0.8022598870056498,0.5429119009929225,0.7845303867403315,0.8208092485549133
PatchCore,juice_bottle,logical,94,142,0.8927180101887924,0.8389513108614233,0.3756995029462365,0.896,0.7887323943661971
PatchCore,juice_bottle,structural,94,94,0.9256450882752376,0.851063829787234,0.3735033052973089,0.851063829787234,0.851063829787234
PatchCore,juice_bottle,overall,94,236,0.9058330328164442,0.88,0.36150724211852425,0.8744769874476988,0.885593220338983
PatchCore,pushpins,logical,138,91,0.4925147316451664,0.56875,0.3901120676444127,0.39737991266375544,1.0
