method,category,anomaly_type,n_good,n_anomaly,auroc,f1_max,f1_threshold,precision_at_f1,recall_at_f1
Best Fusion,breakfast_box,logical,102,83,0.9060949681077249,0.8333333333333334,0.893187823280884,0.8235294117647058,0.8433734939759037
Best Fusion,breakfast_box,structural,102,90,0.7398692810457516,0.6708860759493671,0.8679267636458913,0.7794117647058824,0.5888888888888889
Best Fusion,breakfast_box,overall,102,173,0.8196191771506289,0.7924528301886793,0.7566825592599006,0.8689655172413793,0.7283236994219653
Best Fusion,juice_bottle,logical,94,142,0.8470931974827689,0.8059701492537313,-0.6541469426254072,0.8571428571428571,0.7605633802816901
Best Fusion,juice_bottle,structural,94,94,0.82922136713445,0.7652173913043478,-0.9605552579051218,0.6470588235294118,0.9361702127659575
Best Fusion,juice_bottle,overall,94,236,0.8399747565813199,0.8523364485981308,-1.1610831380400488,0.7625418060200669,0.9661016949152542
Best Fusion,pushpins,logical,138,91,0.5997770345596434,0.6197183098591549,-0.2145307415087453,0.45595854922279794,0.967032967032967
Best Fusion,pushpins,structural,138,81,0.9830917874396135,0.54,-1.0398795992503806,0.3698630136986301,1.0
Best Fusion,pushpins,overall,138,172,0.7802915402763734,0.7136929460580913,-1.0398795992503806,0.5548387096774193,1.0
Best Fusion,screw_bag,logical,122,137,0.6275577360296758,0.6984126984126984,-0.04934559123285115,0.5477178423236515,0.9635036496350365
Best Fusion,screw_bag,structural,122,82,0.7980807676929229,0.7011494252873564,0.7650592280621551,0.6630434782608695,0.7439024390243902
Best Fusion,screw_bag,overall,122,219,0.6914065424058686,0.7874306839186691,-0.046742284907241305,0.6614906832298136,0.9726027397260274
Best Fusion,splicing_connectors,logical,119,108,0.6763149704326175,0.6467065868263473,-0.8983865359048124,0.4778761061946903,1.0
Best Fusion,splicing_connectors,structural,119,85,0.6689075630252102,0.6147186147186147,-0.30237941211098607,0.4863013698630137,0.8352941176470589
Best Fusion,splicing_connectors,overall,119,193,0.6730526407454172,0.7643564356435644,-0.9249344834196718,0.6185897435897436,1.0
Fusion Max,breakfast_box,logical,102,83,0.8990077958894401,0.8456375838926175,2.0666550010154476,0.9545454545454546,0.7590361445783133
Fusion Max,breakfast_box,structural,102,90,0.779193899782135,0.6888888888888889,1.3171226761951143,0.6888888888888889,0.6888888888888889
Fusion Max,breakfast_box,overall,102,173,0.8366768672787033,0.8033240997229917,1.1189510629217294,0.7712765957446809,0.838150289017341
Fusion Max,juice_bottle,logical,94,142,0.7338178004195386,0.7537993920972644,-0.00829190829011317,0.6631016042780749,0.8732394366197183
Fusion Max,juice_bottle,structural,94,94,0.5081484834766863,0.6739130434782609,-0.7271076786970527,0.510989010989011,0.9893617021276596
Fusion Max,juice_bottle,overall,94,236,0.6439325640100972,0.8353982300884956,-1.0821836085214331,0.7173252279635258,1.0
Fusion Max,pushpins,logical,138,91,0.5645007166746299,0.6206896551724138,0.645983883399515,0.45226130653266333,0.989010989010989
Fusion Max,pushpins,structural,138,81,0.9892646269457863,0.54,-0.8138792168909167,0.3698630136986301,1.0
Fusion Max,pushpins,overall,138,172,0.7645348837209301,0.7136929460580913,-0.8138792168909167,0.5548387096774193,1.0
Fusion Max,screw_bag,logical,122,137,0.5692832356108652,0.6919191919191919,0.2623483226258481,0.528957528957529,1.0
Fusion Max,screw_bag,structural,122,82,0.7583966413434626,0.6666666666666666,1.5435276121093184,0.6122448979591837,0.7317073170731707
Fusion Max,screw_bag,overall,122,219,0.640092821318961,0.7821428571428571,0.2623483226258481,0.6422287390029325,1.0
Fusion Max,splicing_connectors,logical,119,108,0.692110177404295,0.6594202898550725,0.09605234411207642,0.5416666666666666,0.8425925925925926
Fusion Max,splicing_connectors,structural,119,85,0.6720711814137419,0.6086956521739131,-0.06613603291039183,0.4583333333333333,0.9058823529411765
Fusion Max,splicing_connectors,overall,119,193,0.68328471284887,0.7643564356435644,-0.661897110504788,0.6185897435897436,1.0
Fusion RankAvg,breakfast_box,logical,102,83,0.8811717458067564,0.810126582278481,0.69002674880006,0.8533333333333334,0.7710843373493976
Fusion RankAvg,breakfast_box,structural,102,90,0.7349673202614379,0.6733668341708543,0.5844899886512112,0.6146788990825688,0.7444444444444445
