method,anomaly_type,mean_auroc,mean_f1_max,categories
Best Fusion,logical,0.6871397759810897,0.7153599144374898,5
Best Fusion,overall,0.7340812645694271,0.7826791219534739,5
Best Fusion,structural,0.7967101753739019,0.6576463200540086,5
Fusion Max,logical,0.7059883102975701,0.7091889409688326,5
Fusion Max,overall,0.7374780594668524,0.7807194128093642,5
Fusion Max,structural,0.779991210485614,0.6441674146436565,5
Fusion RankAvg,logical,0.6716979984885681,0.7093528374355783,5
Fusion RankAvg,overall,0.7209683056322808,0.7933006164355071,5
Fusion RankAvg,structural,0.7869199618465166,0.7379776548533764,5
Fusion WeightedAvg,logical,0.6871397759810897,0.7153599144374898,5
Fusion WeightedAvg,overall,0.7340812645694271,0.7826791219534739,5
Fusion WeightedAvg,structural,0.7967101753739019,0.6576463200540086,5
