method,category,anomaly_type,n_good,n_anomaly,auroc,f1_max,f1_threshold,precision_at_f1,recall_at_f1
GridAware DINOv2,breakfast_box,logical,102,83,0.8417198204583038,0.7745664739884393,0.5238391485369063,0.7444444444444445,0.8072289156626506
GridAware DINOv2,breakfast_box,structural,102,90,0.8172113289760349,0.757396449704142,0.535251062672987,0.810126582278481,0.7111111111111111
GridAware DINOv2,breakfast_box,overall,102,173,0.8289697381842911,0.813953488372093,0.5177860959966901,0.8187134502923976,0.8092485549132948
GridAware DINOv2,juice_bottle,logical,94,142,0.9362451303566078,0.8767123287671232,0.3062337435577475,0.8533333333333334,0.9014084507042254
GridAware DINOv2,juice_bottle,structural,94,94,0.9539384336803983,0.8961748633879781,0.321605410753736,0.9213483146067416,0.8723404255319149
GridAware DINOv2,juice_bottle,overall,94,236,0.9432924630364227,0.9109311740890689,0.2972173936863779,0.872093023255814,0.9533898305084746
GridAware DINOv2,pushpins,logical,138,91,0.5336040770823379,0.5723905723905723,0.3637578722865691,0.41262135922330095,0.9340659340659341
GridAware DINOv2,pushpins,structural,138,81,0.6227410985865092,0.5882352941176471,0.37743292175806487,0.43103448275862066,0.9259259259259259
GridAware DINOv2,pushpins,overall,138,172,0.5755813953488372,0.7166666666666667,0.34212514758110046,0.5584415584415584,1.0
GridAware DINOv2,screw_bag,logical,122,137,0.542957999282039,0.6919191919191919,0.45579676215465253,0.528957528957529,1.0
GridAware DINOv2,screw_bag,structural,122,82,0.7980807676929228,0.6961325966850829,0.5603417373781827,0.6363636363636364,0.7682926829268293
GridAware DINOv2,screw_bag,overall,122,219,0.6384834194176211,0.7821428571428571,0.45579676215465253,0.6422287390029325,1.0
GridAware DINOv2,splicing_connectors,logical,119,108,0.7959072517896048,0.7087378640776699,0.4343718567961747,0.7448979591836735,0.6759259259259259
GridAware DINOv2,splicing_connectors,structural,119,85,0.7259515570934256,0.6282051282051282,0.4375711447905978,0.6901408450704225,0.5764705882352941
GridAware DINOv2,splicing_connectors,overall,119,193,0.7650977489441373,0.7759336099585062,0.3806790932984162,0.6470588235294118,0.9689119170984456
