method,image_id,path,relative_path,category,split,defect_type,sample_id,label,score,region_size,feature_backend,map_file,time_ms
GridAware DINOv2,breakfast_box/test/good/000,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/000.png,breakfast_box/test/good/000.png,breakfast_box,test,good,000,0,0.5031379300814408,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_000.png,148.96717999999964
GridAware DINOv2,breakfast_box/test/good/001,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/001.png,breakfast_box/test/good/001.png,breakfast_box,test,good,001,0,0.4873556127915016,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_001.png,141.13697500033595
GridAware DINOv2,breakfast_box/test/good/002,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/002.png,breakfast_box/test/good/002.png,breakfast_box,test,good,002,0,0.5004546160881336,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_002.png,142.18265999988944
GridAware DINOv2,breakfast_box/test/good/003,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/003.png,breakfast_box/test/good/003.png,breakfast_box,test,good,003,0,0.5235125193229089,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_003.png,173.0596629995489
GridAware DINOv2,breakfast_box/test/good/004,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/004.png,breakfast_box/test/good/004.png,breakfast_box,test,good,004,0,0.5430274674525628,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_004.png,186.38876500062906
GridAware DINOv2,breakfast_box/test/good/005,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/005.png,breakfast_box/test/good/005.png,breakfast_box,test,good,005,0,0.5077730784049401,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_005.png,182.63176300024497
GridAware DINOv2,breakfast_box/test/good/006,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/006.png,breakfast_box/test/good/006.png,breakfast_box,test,good,006,0,0.4765940560744359,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_006.png,178.2280309998896
GridAware DINOv2,breakfast_box/test/good/007,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/007.png,breakfast_box/test/good/007.png,breakfast_box,test,good,007,0,0.5705573283709012,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_007.png,189.7296200004348
GridAware DINOv2,breakfast_box/test/good/008,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/008.png,breakfast_box/test/good/008.png,breakfast_box,test,good,008,0,0.5134507073805883,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_008.png,192.26946599974326
GridAware DINOv2,breakfast_box/test/good/009,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/009.png,breakfast_box/test/good/009.png,breakfast_box,test,good,009,0,0.525196774647786,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_009.png,181.0478030001832
GridAware DINOv2,breakfast_box/test/good/010,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/010.png,breakfast_box/test/good/010.png,breakfast_box,test,good,010,0,0.5344752164987417,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_010.png,183.29103699943516
GridAware DINOv2,breakfast_box/test/good/011,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/011.png,breakfast_box/test/good/011.png,breakfast_box,test,good,011,0,0.4757416729743664,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_011.png,217.78018700024404
GridAware DINOv2,breakfast_box/test/good/012,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/012.png,breakfast_box/test/good/012.png,breakfast_box,test,good,012,0,0.4885150079543774,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_012.png,185.42557499949908
GridAware DINOv2,breakfast_box/test/good/013,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/013.png,breakfast_box/test/good/013.png,breakfast_box,test,good,013,0,0.5041418236035567,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_013.png,180.36864599980618
GridAware DINOv2,breakfast_box/test/good/014,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/014.png,breakfast_box/test/good/014.png,breakfast_box,test,good,014,0,0.5174827231810644,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_014.png,185.4577750000317
GridAware DINOv2,breakfast_box/test/good/015,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/015.png,breakfast_box/test/good/015.png,breakfast_box,test,good,015,0,0.4681048095226288,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_015.png,181.22441000014078
GridAware DINOv2,breakfast_box/test/good/016,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/016.png,breakfast_box/test/good/016.png,breakfast_box,test,good,016,0,0.5487304192322952,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_016.png,188.06817500080797
GridAware DINOv2,breakfast_box/test/good/017,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/017.png,breakfast_box/test/good/017.png,breakfast_box,test,good,017,0,0.4808793365955353,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_017.png,183.09657700046955
GridAware DINOv2,breakfast_box/test/good/018,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/018.png,breakfast_box/test/good/018.png,breakfast_box,test,good,018,0,0.5461560120949378,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_018.png,196.47665299999062
GridAware DINOv2,breakfast_box/test/good/019,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/019.png,breakfast_box/test/good/019.png,breakfast_box,test,good,019,0,0.4968340282256787,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_019.png,198.16544599962072
GridAware DINOv2,breakfast_box/test/good/020,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/020.png,breakfast_box/test/good/020.png,breakfast_box,test,good,020,0,0.5555526843437781,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_020.png,220.93945300002815
GridAware DINOv2,breakfast_box/test/good/021,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/021.png,breakfast_box/test/good/021.png,breakfast_box,test,good,021,0,0.5752579661516043,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_021.png,190.68505599989294
GridAware DINOv2,breakfast_box/test/good/022,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/022.png,breakfast_box/test/good/022.png,breakfast_box,test,good,022,0,0.46471157440772426,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_022.png,141.58728900019923
GridAware DINOv2,breakfast_box/test/good/023,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/023.png,breakfast_box/test/good/023.png,breakfast_box,test,good,023,0,0.5806533235770005,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_023.png,142.27385200047138
GridAware DINOv2,breakfast_box/test/good/024,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/024.png,breakfast_box/test/good/024.png,breakfast_box,test,good,024,0,0.4892200506650485,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_024.png,140.51584499975434
GridAware DINOv2,breakfast_box/test/good/025,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/025.png,breakfast_box/test/good/025.png,breakfast_box,test,good,025,0,0.4736855992904076,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_025.png,142.98479900025995
GridAware DINOv2,breakfast_box/test/good/026,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/026.png,breakfast_box/test/good/026.png,breakfast_box,test,good,026,0,0.5229752980745755,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_026.png,141.19805900008942
GridAware DINOv2,breakfast_box/test/good/027,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/027.png,breakfast_box/test/good/027.png,breakfast_box,test,good,027,0,0.5138023564448724,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_027.png,141.31257999997615
GridAware DINOv2,breakfast_box/test/good/028,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/028.png,breakfast_box/test/good/028.png,breakfast_box,test,good,028,0,0.5083949222014501,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_028.png,157.41881399935664
GridAware DINOv2,breakfast_box/test/good/029,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/029.png,breakfast_box/test/good/029.png,breakfast_box,test,good,029,0,0.500373145708671,6x6,dinov2-small,/content/lab/Project_A_LOCO_AD/06_method_results/GridAware_DINOv2/gridaware_anomaly_maps/breakfast_box_good_029.png,140.90551500066795
