method,category,anomaly_type,n_good,n_anomaly,auroc,f1,precision,recall,val_threshold
Global Image-Stat Detector,breakfast_box,logical,102,83,0.8668792818332153,0.7121212121212122,0.9591836734693877,0.5662650602409639,1.5581508994102475
Global Image-Stat Detector,breakfast_box,structural,102,90,0.6159041394335513,0.34234234234234234,0.9047619047619048,0.2111111111111111,1.5581508994102475
Global Image-Stat Detector,breakfast_box,overall,102,173,0.736314178850731,0.5477178423236515,0.9705882352941176,0.3815028901734104,1.5581508994102475
Global Image-Stat Detector,juice_bottle,logical,94,142,0.7146388972130656,0.6382978723404256,0.8064516129032258,0.528169014084507,1.1528323531150817
Global Image-Stat Detector,juice_bottle,structural,94,94,0.5659800814848347,0.35294117647058826,0.5714285714285714,0.2553191489361702,1.1528323531150817
Global Image-Stat Detector,juice_bottle,overall,94,236,0.6554273350162279,0.5609065155807366,0.8461538461538461,0.4194915254237288,1.1528323531150817
Global Image-Stat Detector,pushpins,logical,138,91,0.5607580824972129,0.5947955390334573,0.449438202247191,0.8791208791208791,1.3443147659301757
Global Image-Stat Detector,pushpins,structural,138,81,0.9893540883879047,0.6230769230769231,0.45251396648044695,1.0,1.3443147659301757
Global Image-Stat Detector,pushpins,overall,138,172,0.7625968992248062,0.7470997679814385,0.6216216216216216,0.936046511627907,1.3443147659301757
Global Image-Stat Detector,screw_bag,logical,122,137,0.6723106377886802,0.20382165605095542,0.8,0.11678832116788321,1.380289566516876
Global Image-Stat Detector,screw_bag,structural,122,82,0.731607357057177,0.4074074074074074,0.8461538461538461,0.2682926829268293,1.380289566516876
Global Image-Stat Detector,screw_bag,overall,122,219,0.6945130623549667,0.29118773946360155,0.9047619047619048,0.1735159817351598,1.380289566516876
Global Image-Stat Detector,splicing_connectors,logical,119,108,0.35605353252412075,0.13740458015267176,0.391304347826087,0.08333333333333333,1.2664177179336547
Global Image-Stat Detector,splicing_connectors,structural,119,85,0.5133959466139397,0.29310344827586204,0.5483870967741935,0.2,1.2664177179336547
Global Image-Stat Detector,splicing_connectors,overall,119,193,0.4253494143771498,0.22317596566523606,0.65,0.13471502590673576,1.2664177179336547
Patch-Stat Memory (NN),breakfast_box,logical,102,83,0.6381998582565556,0.28,0.8235294117647058,0.1686746987951807,0.05167105586092098
Patch-Stat Memory (NN),breakfast_box,structural,102,90,0.6428104575163398,0.15841584158415842,0.7272727272727273,0.08888888888888889,0.05167105586092098
Patch-Stat Memory (NN),breakfast_box,overall,102,173,0.6405984359061544,0.2222222222222222,0.88,0.12716763005780346,0.05167105586092098
Patch-Stat Memory (NN),juice_bottle,logical,94,142,0.7497003296373987,0.6666666666666666,0.8651685393258427,0.5422535211267606,0.0510103061910021
Patch-Stat Memory (NN),juice_bottle,structural,94,94,0.7275916704391127,0.5379310344827586,0.7647058823529411,0.4148936170212766,0.0510103061910021
Patch-Stat Memory (NN),juice_bottle,overall,94,236,0.7408943382618104,0.6373626373626373,0.90625,0.4915254237288136,0.0510103061910021
Patch-Stat Memory (NN),pushpins,logical,138,91,0.46225513616817965,0.35555555555555557,0.3595505617977528,0.3516483516483517,0.0294849291296639
Patch-Stat Memory (NN),pushpins,structural,138,81,0.9685990338164251,0.7339449541284404,0.583941605839416,0.9876543209876543,0.0294849291296639
